Hanzi,Pinyin,Meaning
你,nǐ,you (informal)
好,hǎo,good
吗,ma,y/n?
我,wǒ,I
很,hěn,very
也,yě,also
不,bù,not
是,shì,to be
的,de,of/'s
在,zài,[place/location particle]
这,zhè,this
那,nà,that
哪,nǎ,which?
谁,shéi,who?
什么,shénme,what?
呢,ne,[elliptic ?]
忙,máng,busy
爸爸,bàba,father
妈妈,māma,mother
他,tā,he
们,men,[plural pronoun]
都,dōu,all/both
男,nán,male
朋友,péngyou,friend
哥哥,gēge,older brother
要,yào,want
咖啡,kāfēi,coffee
弟弟,dìdi,younger brother
喝,hē,to drink
她,tā,she
国,guó,country/realm/state
人,rén,person
老师,lǎoshī,teacher
中国,zhōngguó,China
认识,rènshi,to know
高兴,gāoxìng,happy/pleased
可以,kěyǐ,can/may (permission)
进来,jìnlái,to come in
来,lái,to come
请,qǐng,please
您,nín,you (polite)
记者,jìzhě,journalist
请问,qǐngwèn,may I ask...?
问,wèn,to ask
贵姓,guìxìng,What's your last name? [formal]
姓,xìng,surname
叫,jiào,to be called
先生,xiānsheng,Mister
语言,yǔyán,language
学院,xuéyuàn,learning institute
学生,xuésheng,student
学习,xuéxí,to study
汉语,hànyǔ,Chinese language
英国,yīngguó,England
加拿大,jiānádà,Canada
美国,měiguó,United States
餐厅,cāntīng,canteen/cafeteria
哪儿,nǎr,where
宿舍,sùshè,dormitory
女,nǚ,woman
坐,zuò,to sit
谢谢,xièxie,thank you
对不起,duìbuqǐ,I'm sorry
知道,zhīdào,to know
没关系,méiguānxi,it doesn't matter
再见,zàijiàn,goodbye
小姐,xiǎojiě,miss
二,èr,2
层,céng,floor
〇,líng,0
四,sì,4
号,hào,number
不用,bùyòng,no need
这儿,zhèr,here
晚,wǎn,late
了,le,[end of action particle]
一,yī,1
三,sān,3
五,wǔ,5
六,liù,6
七,qī,7
八,bā,8
九,jiǔ,9
十,shí,10
百,bǎi,100
丁​力​波,dīng lì bō,dīng lì bō (name)
马大为,mǎ dà wéi,mǎ dà wéi (name)
林娜,lín nà,lín nà (name)
宋华,sòng huá,sòng huá (name)
王小云,wáng xiǎo yún,wáng xiǎo yún (name)
陆雨平,lù yǔ píng,lù yǔ píng (name)
陈,chén,chén (name)
张,zhāng,zhāng (name)
楊,yáng,yáng (name)
姐姐,jiějie,older sister
妹妹,mèimei,younger sister
爷爷,yéye,paternal grandfather
奶奶,nǎinai,paternal grandmother
外公,wàigōng,maternal grandfather
外婆,wàipó,maternal grandmother
儿子,érzi,son
女儿,nǚér,daughter
儿女,ér nǚ,children
丈夫,zhàngfu,husband
妻子,qīzi,wife
父母,fùmǔ,parents
爱,ài,love
杯子,bēizi,cup
北京,Běijīng,Beijing
本,běn,origin/source/[measure word for books]
菜,cài,vegetable/dish/cuisine
茶,chá,tea
吃,chī,to eat
出租车,chūzūchē,taxi
打电话,dǎ diànhuà,to make a phone call
点,diǎn,a little/hour/o'clock
电脑,diànnǎo,computer
电视,diànshì,television
电影,diànyǐng,movie
东西,dōngxi,thing, item
读,dú,to read
多,duō,many, much
多少,duōshǎo,how many/how much
大,dà,big, large
饭店,fàndiàn,restaurant/hotel
飞机,fēijī,airplane
分钟,fēnzhōng,minute
个,gè,[general measure word]
工作,gōngzuò,work
狗,gǒu,dog
和,hé,and
后面,hòumiàn,behind
回,huí,to return
会,huì,to be able to (learnt ability)/will
几,jǐ,how many/how much
家,jiā,house
今天,jīntiān,today
开,kāi,to open/to start
看,kàn,to look at
看见,kàn jiàn,to see
快,kuài,fast
冷,lěng,cold
里,lǐ,inside
买,mǎi,to buy
猫,māo,cat
没有,méiyǒu,not to have
米饭,mǐfàn,rice
名字,míngzi,name
明天,míngtiān,tomorrow
能,néng,to be physically able to
年,nián,year
漂亮,piàoliang,pretty/beautiful
苹果,píngguǒ,apple
前面,qiánmiàn,in front
钱,qián,money
去,qù,to go
热,rè,hot
商店,shāngdiàn,store
少,shǎo,few
上,shàng,on/above
上午,shàngwǔ,in the morning
时候,shíhou,time/moment/period
书,shū,book
水,shuǐ,water
水果,shuǐguǒ,fruit
睡觉,shuìjiào,to sleep
说,shuō,to say
岁,suì,year
太,tài,too
听,tīng,to listen
同学,tóngxué,classmate
喂,wèi,hello/hey
喜欢,xǐhuān,to like
下,xià,down
下午,xiàwǔ,afternoon
下雨,xià yǔ,to rain
现在,xiànzài,now
想,xiǎng,to want
小,xiǎo,small
些,xiē,some
写,xiě,to write
星期,xīngqī,weekday
学校,xuéxiào,school
一点儿,yīdiǎn,a little bit
医院,yīyuàn,hospital
衣服,yīfu,clothes
椅子,yǐzi,chair
有,yǒu,to have
月,yuè,month
怎么,zěnme,how
怎么样,zěnme yàng,how is it
中午,zhōngwǔ,noon
住,zhù,to live
桌子,zhuōzi,table
字,zì,character
昨天,zuótiān,yesterday
做,zuò,to do (material things)
不客气,bù kèqi,you're welcome
天气,tiānqì,weather
医生,yīshēng,doctor
阿根廷,Āgēntíng,Argentina
德国,Déguó,Germany
俄国,Éguó,Russia
法国,Fǎguó,France
日本,Rìběn,Japan
游泳,yóuyǒng,swim
京剧,jīngjù,Peking Opera
有意思,yǒu yìsi,interesting
时间,shíjiān,free (general sense)
遍,biàn,[measure word for actions]
恐怕,kǒngpà,I'm afraid that
行,xíng,Okay/Fine
打,dǎ,to play/manipulate (balls)
球,qiú,ball
抱歉,bàoqiàn,sorry (formal)
